source,geo_id,geo_level,country_code,metric,x,n,share,lo,hi
claude_ai,NL-ZH,subregion,NL,coursework_share,197.0,2830.0,0.0696113074204947,0.06080658479316618,0.07958291333545187
claude_ai,NL-ZH,subregion,NL,success_rate,2077.0,2831.0,0.7336630166019075,0.7170707364895501,0.749622005708109
claude_ai,NL-ZH,subregion,NL,work_share,1252.0,2830.0,0.44240282685512367,0.42419394826139867,0.46076786470655273
claude_ai,NO,country,NO,automation_share,1026.0,2535.0,0.40473372781065087,0.3857841391471554,0.42397161717887927
claude_ai,NO,country,NO,coursework_share,271.0,2618.0,0.10351413292589763,0.09241991939029189,0.11577023214288995
claude_ai,NO,country,NO,success_rate,1881.0,2619.0,0.718213058419244,0.7006734960200454,0.735113400146311
claude_ai,NO,country,NO,work_share,1110.0,2618.0,0.4239877769289534,0.4051821249504832,0.4430161796305411
claude_ai,NO-03,subregion,NO,automation_share,518.0,1304.0,0.39723926380368096,0.3710191751182496,0.42406304278948476
claude_ai,NO-03,subregion,NO,coursework_share,120.0,1353.0,0.08869179600886919,0.07468411326912469,0.10502853705055891
claude_ai,NO-03,subregion,NO,success_rate,948.0,1354.0,0.7001477104874446,0.6752035006243435,0.72395940615359
claude_ai,NO-03,subregion,NO,work_share,594.0,1353.0,0.43902439024390244,0.412790149372597,0.4656039093001324
claude_ai,NO-11,subregion,NO,coursework_share,25.0,204.0,0.12254901960784313,0.08440133225416799,0.17464979129376465
claude_ai,NO-11,subregion,NO,success_rate,143.0,204.0,0.7009803921568627,0.6349115575344515,0.7596196623945715
claude_ai,NO-11,subregion,NO,work_share,74.0,204.0,0.3627450980392157,0.2998675187050014,0.43069652622151955
claude_ai,NO-30,subregion,NO,automation_share,95.0,211.0,0.45023696682464454,0.3845927173274638,0.5176608499518713
claude_ai,NO-30,subregion,NO,coursework_share,21.0,233.0,0.09012875536480687,0.05970484699427369,0.13384898814279683
claude_ai,NO-30,subregion,NO,success_rate,164.0,233.0,0.703862660944206,0.6423163327574881,0.7587956340591523
claude_ai,NO-30,subregion,NO,work_share,99.0,233.0,0.4248927038626609,0.3631425838800273,0.4890793230822631
claude_ai,NO-46,subregion,NO,automation_share,79.0,217.0,0.3640552995391705,0.3029147468290127,0.42992544270049626
claude_ai,NO-46,subregion,NO,coursework_share,17.0,223.0,0.07623318385650224,0.04813785931015697,0.11868163058940291
claude_ai,NO-46,subregion,NO,success_rate,168.0,223.0,0.7533632286995515,0.6928134008784431,0.8053315601868994
claude_ai,NO-46,subregion,NO,work_share,90.0,223.0,0.40358744394618834,0.34135285623361467,0.46908755681231695
claude_ai,NO-50,subregion,NO,automation_share,96.0,232.0,0.41379310344827586,0.35232328994670414,0.4780713478101632
claude_ai,NO-50,subregion,NO,coursework_share,61.0,248.0,0.24596774193548387,0.19651223452365502,0.30317328208678584
claude_ai,NO-50,subregion,NO,success_rate,194.0,248.0,0.782258064516129,0.7267981827715545,0.8291067987724002
claude_ai,NO-50,subregion,NO,work_share,93.0,248.0,0.375,0.3170836847597071,0.43672982341368444
claude_ai,NP,country,NP,automation_share,770.0,1550.0,0.4967741935483871,0.4719214496434095,0.5216428879312828
claude_ai,NP,country,NP,coursework_share,419.0,1583.0,0.26468730259001894,0.24354289607300666,0.28697105062463474
claude_ai,NP,country,NP,success_rate,1105.0,1584.0,0.69760101010101,0.6745263203736032,0.7197195540259592
claude_ai,NP,country,NP,work_share,673.0,1583.0,0.425142135186355,0.40099859452867453,0.449648124085206
claude_ai,NP-P3,subregion,NP,automation_share,711.0,1428.0,0.49789915966386555,0.4720062870359752,0.5238033053099937
claude_ai,NP-P3,subregion,NP,coursework_share,389.0,1456.0,0.26717032967032966,0.24507616974184435,0.2904898807118487
claude_ai,NP-P3,subregion,NP,success_rate,1019.0,1457.0,0.699382292381606,0.6753385295698519,0.7223774171830335
claude_ai,NP-P3,subregion,NP,work_share,624.0,1456.0,0.42857142857142855,0.40337260998010527,0.45414617835967075
claude_ai,NZ,country,NZ,automation_share,1087.0,2673.0,0.4066591844369622,0.3881841248369241,0.42540215535238557
claude_ai,NZ,country,NZ,coursework_share,161.0,2738.0,0.05880204528853177,0.05059268176560434,0.0682477355655792
claude_ai,NZ,country,NZ,success_rate,1990.0,2739.0,0.7265425337714494,0.7095408757292798,0.7429096048234434
claude_ai,NZ,country,NZ,work_share,1197.0,2738.0,0.4371804236669102,0.4187008852238771,0.45583599538950337
claude_ai,NZ-AUK,subregion,NZ,automation_share,743.0,1781.0,0.4171813587871982,0.3944826392477966,0.44023658737713195
claude_ai,NZ-AUK,subregion,NZ,coursework_share,110.0,1822.0,0.06037321624588365,0.05033403710683574,0.07226235898798432
claude_ai,NZ-AUK,subregion,NZ,success_rate,1306.0,1823.0,0.7164015359297861,0.6952716859653365,0.736621259761321
