geo_id,geo_level,conversations,population,share_of_known,per_100k,usage_index,usage_index_lo,usage_index_hi
RO,country,3833.0,19051804,0.004759202718693001,20.118829691928386,1.432747183225822,1.3873889400494117,1.4781054264022324
RS,country,1643.0,6586476,0.002040013062043465,24.945054077476332,1.7764430889963139,1.6905439939724034,1.8623421840202241
RW,country,504.0,14256567,0.000625786112763181,3.535212930293808,0.25175750506074646,0.229777730729399,0.2737372793920939
SA,country,3698.0,35300280,0.004591581438488578,10.475837585424252,0.7460288208746779,0.7219836302962097,0.7700740114531461
SE,country,4885.0,10569709,0.006065407065174879,46.21697721290151,3.2913069464255567,3.1990089712321876,3.3836049216189252
SG,country,5499.0,6036860,0.006827773480326849,91.09040130133877,6.486933777055775,6.315477386878924,6.658390167232625
SI,country,764.0,2127400,0.0009486122820457743,35.91238131051988,2.557472972009995,2.3761217673757145,2.7388241766442754
SK,country,1089.0,5422069,0.001352144993649016,20.08458394756688,1.4303083985389022,1.3453567482014401,1.5152600488763641
SN,country,892.0,18501984,0.0011075420884618203,4.821104590729297,0.3433313034691932,0.3207999621548169,0.36586264478356956
SV,country,475.0,6338193,0.0005897785784970455,7.494249543994637,0.5336972919879885,0.48570137807277547,0.5816932059032016
TG,country,296.0,9515236,0.00036752517733710626,3.1108004047403552,0.22153328924781457,0.1962956219051688,0.24677095659046033
TH,country,6217.0,71668011,0.007719270363191857,8.674720999303302,0.6177636705184717,0.6024073205032522,0.6331200205336911
TN,country,1851.0,12277109,0.0022982739974695397,15.0768393438553,1.0736856682336402,1.02477202426681,1.1225993122004703
TR,country,9170.0,85518661,0.011385830662774541,10.72280586806662,0.7636164796361581,0.7479869216571532,0.779246037615163
TZ,country,492.0,68560157,0.0006108864434116767,0.7176179599472038,0.05110461823528004,0.046588828954785735,0.05562040751577435
UA,country,5501.0,37860221,0.006830256758552099,14.529761989503442,1.0347259697592939,1.0073820608814554,1.0620698786371323
UG,country,480.0,50015092,0.0005959867740601724,0.9597103210366983,0.06834504194494641,0.06223080215435538,0.07445928173553744
US,country,222372.0,340110988,0.27610577275272635,65.3821863585307,4.656142766391289,4.636790033232985,4.6754954995495925
UY,country,593.0,3386588,0.0007362919937868379,17.51024925382125,1.2469791076396248,1.1466128104856572,1.3473454047935924
UZ,country,861.0,36361859,0.0010690512759704341,2.36786573535748,0.16862576076934788,0.15736212968481547,0.17988939185388028
VN,country,6306.0,100987686,0.007829776244215514,6.244325669567278,0.44468491215503136,0.4337092309921698,0.45566059331789294
ZA,country,4107.0,64007187,0.005099411835552349,6.416466950812883,0.4569438228172393,0.44296867112394694,0.4709189745105316
ZM,country,320.0,21314956,0.0003973245160401149,1.5012932703215527,0.1069134605335444,0.09519923802586984,0.11862768304121896
ZW,country,362.0,16634373,0.00044947335877038,2.1762166809653722,0.15497761885191086,0.13901255095018916,0.17094268675363256
