source,geo_id,metric,parent_id,x,n,share,x_rest,n_rest,share_rest,diff,diff_lo,diff_hi
claude_ai,AR-C,success_rate,AR,1238.0,1762.0,0.70261066969353,2310.0,3223.0,0.7167235494880546,-0.01411287979452458,-0.040524241850810994,0.012298482261761837
claude_ai,AR-C,work_share,AR,895.0,1762.0,0.5079455164585698,1542.0,3223.0,0.4784362395283897,0.029509276930180073,0.0004859451289938796,0.058532608731366266
claude_ai,AR-E,success_rate,AR,153.0,204.0,0.75,3395.0,4781.0,0.7101024890190337,0.03989751098096628,-0.020899621112927015,0.10069464307485956
claude_ai,AR-S,automation_share,AR,166.0,345.0,0.4811594202898551,2038.0,4512.0,0.4516843971631206,0.0294750231267345,-0.02521211053927503,0.08416215679274403
claude_ai,AR-S,coursework_share,AR,31.0,354.0,0.08757062146892655,322.0,4631.0,0.06953141870006478,0.01803920276886177,-0.012304880174296234,0.048383285712019775
claude_ai,AR-S,success_rate,AR,242.0,354.0,0.6836158192090396,3306.0,4631.0,0.713884690131721,-0.03026887092268138,-0.08043418528321086,0.01989644343784811
claude_ai,AR-S,work_share,AR,176.0,354.0,0.4971751412429379,2261.0,4631.0,0.4882314834808897,0.008943657762048196,-0.045095012445434755,0.06298232796953115
claude_ai,AR-X,automation_share,AR,212.0,461.0,0.4598698481561822,1992.0,4396.0,0.4531392174704277,0.006730630685754524,-0.04108599314419176,0.054547254515700805
claude_ai,AR-X,coursework_share,AR,36.0,472.0,0.07627118644067797,317.0,4513.0,0.07024152448482163,0.006029661955856344,-0.019050506630297136,0.031109830542009824
claude_ai,AR-X,success_rate,AR,328.0,472.0,0.6949152542372882,3220.0,4513.0,0.7134943496565478,-0.018579095419259617,-0.06216278966676416,0.025004598828244927
claude_ai,AR-X,work_share,AR,253.0,472.0,0.5360169491525424,2184.0,4513.0,0.48393529802791935,0.05208165112462304,0.004787090439986784,0.09937621180925929
claude_ai,AT,automation_share,GLOBAL,1361.0,3365.0,0.40445765230312036,440208.0,966145.0,0.4556334711663363,-0.05117581886321593,-0.0677882725418701,-0.03456336518456175
claude_ai,AT,coursework_share,GLOBAL,300.0,3456.0,0.08680555555555555,124148.0,996246.0,0.12461580774226447,-0.037810252186708915,-0.047219583390845705,-0.028400920982572124
claude_ai,AT,success_rate,GLOBAL,2429.0,3456.0,0.7028356481481481,696956.0,996544.0,0.6993730332027487,0.003462614945399456,-0.011800782556793588,0.018726012447592498
claude_ai,AT,work_share,GLOBAL,1517.0,3456.0,0.43894675925925924,450826.0,996246.0,0.4525247780166746,-0.013578018757415378,-0.03015225949065777,0.0029962219758270132
claude_ai,AT-3,automation_share,AT,146.0,315.0,0.4634920634920635,1215.0,3050.0,0.3983606557377049,0.0651314077543586,0.007386210721111411,0.1228766047876058
claude_ai,AT-3,coursework_share,AT,25.0,327.0,0.0764525993883792,275.0,3129.0,0.08788750399488654,-0.01143490460650734,-0.04189666193870147,0.019026852725686792
claude_ai,AT-3,success_rate,AT,217.0,327.0,0.6636085626911316,2212.0,3129.0,0.7069351230425056,-0.043326560351374055,-0.0969632614681587,0.010310140765410598
claude_ai,AT-3,work_share,AT,162.0,327.0,0.4954128440366973,1355.0,3129.0,0.43304570150207733,0.062367142534619946,0.005462070980972254,0.11927221408826763
claude_ai,AT-4,automation_share,AT,127.0,277.0,0.4584837545126354,1234.0,3088.0,0.39961139896373055,0.05887235554890485,-0.0022972218666963418,0.12004193296450605
claude_ai,AT-4,coursework_share,AT,24.0,296.0,0.08108108108108109,276.0,3160.0,0.08734177215189873,-0.006260691070817642,-0.03887796057175406,0.026356578430118772
claude_ai,AT-4,success_rate,AT,213.0,296.0,0.7195945945945946,2216.0,3160.0,0.7012658227848101,0.01832877180978454,-0.03527563773233635,0.07193318135190543
claude_ai,AT-4,work_share,AT,136.0,296.0,0.4594594594594595,1381.0,3160.0,0.4370253164556962,0.022434143003763285,-0.03691538942475272,0.0817836754322793
claude_ai,AT-9,automation_share,AT,808.0,2073.0,0.3897732754462132,553.0,1292.0,0.4280185758513932,-0.03824530040517998,-0.072431727360691,-0.004058873449668966
claude_ai,AT-9,coursework_share,AT,189.0,2134.0,0.08856607310215557,111.0,1322.0,0.08396369137670197,0.004602381725453603,-0.014602272586255526,0.02380703603716273
claude_ai,AT-9,success_rate,AT,1505.0,2134.0,0.7052483598875351,924.0,1322.0,0.6989409984871406,0.006307361400394451,-0.02508813632328824,0.03770285912407714
claude_ai,AT-9,work_share,AT,904.0,2134.0,0.42361761949390814,613.0,1322.0,0.4636913767019667,-0.04007375720805856,-0.07416463908388435,-0.005982875332232775
claude_ai,AU,automation_share,GLOBAL,6195.0,15432.0,0.4014385692068429,435374.0,954078.0,0.4563295663457285,-0.05489099713888562,-0.06268939443660346,-0.04709259984116779
claude_ai,AU,coursework_share,GLOBAL,1091.0,15903.0,0.06860340816198202,123357.0,983799.0,0.12538841775606602,-0.056785009594084,-0.06076790709274924,-0.05280211209541876
claude_ai,AU,success_rate,GLOBAL,11358.0,15906.0,0.7140701622029423,688027.0,984094.0,0.6991476424000146,0.014922519802927692,0.00784205513774679,0.022002984468108593
claude_ai,AU,work_share,GLOBAL,7309.0,15903.0,0.45959881783311324,445034.0,983799.0,0.4523627285654895,0.007236089267623758,-0.0005718669653483862,0.0150440455005959
claude_ai,AU-ACT,automation_share,AU,85.0,204.0,0.4166666666666667,6110.0,15228.0,0.4012345679012346,0.015432098765432112,-0.05266839266419443,0.08353259019505865
claude_ai,AU-ACT,coursework_share,AU,19.0,223.0,0.08520179372197309,1072.0,15680.0,0.06836734693877551,0.01683444678319758,-0.020020838590050785,0.05368973215644594
claude_ai,AU-ACT,success_rate,AU,173.0,224.0,0.7723214285714286,11185.0,15682.0,0.7132381073842622,0.059083321187166415,0.0037138605862632387,0.11445278178806959
claude_ai,AU-ACT,work_share,AU,110.0,223.0,0.49327354260089684,7199.0,15680.0,0.4591198979591837,0.034153644641713166,-0.03192802893217141,0.10023531821559774
claude_ai,AU-NSW,automation_share,AU,2247.0,5736.0,0.39173640167364016,3948.0,9696.0,0.40717821782178215,-0.015441816148141996,-0.031417462788828836,0.0005338304925448442
claude_ai,AU-NSW,coursework_share,AU,423.0,5910.0,0.0715736040609137,668.0,9993.0,0.06684679275492846,0.0047268113059852485,-0.0034691750829628117,0.012922797694933309
claude_ai,AU-NSW,success_rate,AU,4200.0,5911.0,0.7105396717983421,7158.0,9995.0,0.7161580790395198,-0.005618407241177681,-0.020171681610949385,0.008934867128594025
claude_ai,AU-NSW,work_share,AU,2679.0,5910.0,0.4532994923857868,4630.0,9993.0,0.46332432702892024,-0.010024834643133418,-0.0260459694809248,0.005996300194657963
claude_ai,AU-QLD,automation_share,AU,1110.0,2727.0,0.40704070407040704,5085.0,12705.0,0.4002361275088548,0.006804576561552256,-0.013507767497306675,0.027116920620411187
